"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku"
"1","Sovereign","Uncategorized","",,,,"true",2025-07-27T06:35:35.208Z,2025-07-27T06:35:35.208Z,,,,,,,,,"M-101",
"2","Zenith","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-102",
"3","Eclipse","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-103",
"4","Titan","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-104",
"5","Nova","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-105",
"6","Summit","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-106",
"7","Stellar","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-107",
"8","Apex","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-108",
"9","Quantum","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-109",
"10","Quantum","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-110",
"11","Quantum","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-111",
"12","Horizon","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-112",
"13","Horizon","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-113",
"14","Horizon","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-114",
"15","Vortex","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-115",
"16","Vortex","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-116",
"17","Vortex","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-117",
"18","Amber","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-118",
"19","Amber","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-119",
"20","Amber","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-120",
"21","Crestview","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-121",
"22","Crestview","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-122",
"23","Crestview","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-123",
"24","Northwind","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-124",
"25","Northwind","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-125",
"26","Verdant","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-126",
"27","Verdant","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-127",
"28","Cosmos","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-128",
"29","Cosmos","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-129",
"30","Galeforce","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-130",
"31","Galeforce","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-131",
"32","Icebound","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-132",
"33","Icebound","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-133",
"34","Silversky","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-134",
"35","Silversky","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-135",
"36","Skyreach","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-136",
"37","Skyreach","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-137",
"38","Aulora","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-138",
"39","Aulora","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-139",
"40","Velocity","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-140",
"41","Velocity","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-141",
"42","Hollow","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-142",
"43","Hollow","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-143",
"44","Coral","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-144",
"45","Dreamweaver","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-145",
"46","Atlas","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-146",
"47","Mystic","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-147",
"48","Luminary","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-148",
"49","Aurora","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-149",
"50","Lighthouse","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-150",
"51","Nexus","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-151",
"52","Kestrel","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-152",
"53","Fusion","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-153",
"54","Spectrum","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-154",
"55","Harmony","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-155",
"56","Essence","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-201",
"57","Essence","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-202",
"58","Pinnacle","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-203",
"59","Pinnacle","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-204",
"60","Legacy","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-205",
"61","Legacy","Uncategorized","",,,,"true",2025-07-27T06:35:35.210Z,2025-07-27T06:35:35.210Z,,,,,,,,,"M-206",
