"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"3000","Aluminium Pressure Cooker","Kitchenware","Pressure Cookers","Crafted from virgin aluminium. Extra heavy gauge, rust-free stainless steel vent tube, bakelite heat-resistant handles, and safety valve.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,"Aluminium",,,,,,,,,
"3001","Elegance Plain Aluminium Pressure Cooker","Kitchenware","Pressure Cookers","Premium virgin aluminium, extra heavy gauge. Rust-free SS vent, heat-resistant bakelite handles, safety valve, and curved body for easy stirring.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,"Aluminium",,,,,,,,,
"3002","Elegance Handi Aluminium Pressure Cooker","Kitchenware","Pressure Cookers","Handi shape for traditional Indian cooking, with the same high standards of safety and durability as other Ojas cookers.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,"Aluminium",,,,,,,,,
"3003","Elegance Contura Aluminium Pressure Cooker","Kitchenware","Pressure Cookers","Contura body for convenient stirring. Virgin aluminium, heavy gauge, secure handles and safety features.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,"Aluminium",,,,,,,,,
"3004","Hard Anodised Pressure Cooker","Kitchenware","Pressure Cookers","Hard anodized finish for extra durability and corrosion resistance. Standard Ojas safety and handling features.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,"Hard Anodized Aluminium",,,,,,,,,
"3005","Stainless Steel Pressure Cooker","Kitchenware","Pressure Cookers","Rust-proof, elegant stainless steel body. Equipped with all standard Ojas safety and durability features.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,"Stainless Steel",,,,,,,,,
"3006","Single Burner Stove","Kitchenware","","Compact gas stoves ideal for single-burner kitchens, student accommodations or as auxiliary burners.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,,,,,,,,,,
"3007","Double Burner Stove","Kitchenware","","Wide range of double-burner stoves in varying finishes, features, and designs for household or semi-commercial use.",,,"true",2025-07-27T07:05:49.298Z,2025-07-27T07:05:49.298Z,"Shivaya",,,,,,,,,,,
"3008","Triple Burner Stove","Kitchenware","","Triple burner stoves available in different finishes and advanced digital/semi-digital variants. Suitable for larger families.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3009","Four Burner Stove","Kitchenware","","Premium four burner gas stove for professional or higher-end contemporary kitchens.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3010","Green Gas 2 Burner","Kitchenware","","Eco-friendly model, further details available on request.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3011","Original Burner","Kitchenware","","Standard, classic burner style.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3012","Thomos Kettle","Kitchenware","","Insulated kettle for hot and cold liquids.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3013","Tiffin Capsule","Kitchenware","","Compact, insulated lunch carriers (capsule form) for daily use.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,"3 Capsule, 4 Capsule"
"3014","Tiffin Tablet","Kitchenware","","Tablet-style insulated lunch boxes for convenient transport.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,"3 Tablet, 4 Tablet"
"3015","Lite","Kitchenware","","Simple, lightweight thermoware series.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3016","Casserole","Kitchenware","","Insulated casseroles for keeping food hot or cold.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3017","Travel Jug","Kitchenware","","Large capacity portable jugs with insulation for picnics or travel.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3018","Cookware Set","Kitchenware","Cookware","Comprehensive kitchen cookware set, suitable for all standard Indian cooking needs.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3019","Idli Pot","Kitchenware","[object Object]","Aluminium idli steamers; available in basic (NP), heavy, and deluxe series for different capacity requirements.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya","[object Object]",,,,,,,,,,
"3020","Amlet","Kitchenware","","Specialty utensil, likely for making omelettes, as per regional terminology.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3021","Bati Bartan","Kitchenware","","Traditional Indian vessel, used for making bati or serving dal-bati; details on sizes on request.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
"3022","Barbeque Aanch","Kitchenware","","Traditional/modern barbeque set for indoor or outdoor grilling.",,,"true",2025-07-27T07:05:49.299Z,2025-07-27T07:05:49.299Z,"Shivaya",,,,,,,,,,,
