"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"2000","300 x 200 Series - 300 x 200 x 70 mm","Plasticware","Industrial Plastic Crates","300 x 200 Series - 300 x 200 x 70 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"300 x 200 x 70 mm",,,,,"2",
"2001","300 x 200 Series - 300 x 200 x 100 mm","Plasticware","Industrial Plastic Crates","300 x 200 Series - 300 x 200 x 100 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"300 x 200 x 100 mm",,,,,"4",
"2002","300 x 200 Series - 300 x 200 x 150 mm","Plasticware","Industrial Plastic Crates","300 x 200 Series - 300 x 200 x 150 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"300 x 200 x 150 mm",,,,,"6",
"2003","300 x 200 Series - 300 x 200 x 200 mm","Plasticware","Industrial Plastic Crates","300 x 200 Series - 300 x 200 x 200 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"300 x 200 x 200 mm",,,,,"8",
"2004","400 x 300 Series - 400 x 300 x 65 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 65 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 65 mm",,,,,"6",
"2005","400 x 300 Series - 400 x 300 x 100 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 100 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 100 mm",,,,,"9",
"2006","400 x 300 Series - 400 x 300 x 120 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 120 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 120 mm",,,,,"11.5",
"2007","400 x 300 Series - 400 x 300 x 150 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 150 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 150 mm",,,,,"11.5",
"2008","400 x 300 Series - 400 x 300 x 175 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 175 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 175 mm",,,,,"17",
"2009","400 x 300 Series - 400 x 300 x 220 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 220 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 220 mm",,,,,"20",
"2010","400 x 300 Series - 400 x 300 x 275 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 275 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 275 mm",,,,,"26",
"2011","400 x 300 Series - 400 x 300 x 320 mm","Plasticware","Industrial Plastic Crates","400 x 300 Series - 400 x 300 x 320 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"400 x 300 x 320 mm",,,,,"28.5",
"2012","500 x 325 Series - 500 x 325 x 100 mm","Plasticware","Industrial Plastic Crates","500 x 325 Series - 500 x 325 x 100 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"500 x 325 x 100 mm",,,,,"12",
"2013","500 x 325 Series - 500 x 325 x 150 mm","Plasticware","Industrial Plastic Crates","500 x 325 Series - 500 x 325 x 150 mm from [object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,"true",2025-07-27T07:05:49.305Z,2025-07-27T07:05:49.305Z,"Shivaya","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,,"500 x 325 x 150 mm",,,,,"19",
