"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"5000","Hotel Soap – Square (Orange)","Household","Hotel Soaps","Available in transparent orange square form. Bulk packaging for hotels.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,,,,,,,,,
"5001","Hotel Soap – Round (Yellow)","Household","Hotel Soaps","Round yellow soap bars, ideal for hotel amenities.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,,,,,,,,,
"5002","Hotel Soap – Sachet Packaged","Household","Hotel Soaps","Hotel soap packed in individual sachets for hygienic use.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,,,,,,,,,
"5003","Hotel Soap – Square (White)","Household","Hotel Soaps","White square soaps, available in bulk with optional custom branding.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,,,,,,,,,
"5004","Hotel Soap – Custom Branding","Household","Hotel Soaps","Custom label option available for hotel soaps.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,,,,,,,,,
"5005","Moisturizer","Household","Guest Toiletries","High-quality 20ml moisturizer, travel-sized for hotels. Custom branding and eco-friendly packaging.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,,,
"5006","Conditioner","Household","Guest Toiletries","20ml hotel conditioner in convenient bottle. Custom hotel branding possible.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,,,
"5007","Shower Gel","Household","Guest Toiletries","20ml shower gel meant for short-stay guests or travel use.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,,,
"5008","Shampoo","Household","Guest Toiletries","Travel-size hotel shampoo, 20ml per bottle.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,,,
"5009","Disposable Slippers (Regular)","Household","Disposable Slippers","Comfortable, hygienic slippers for hotels, spas, salons, or guest use.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Soft, breathable material, Non-slip sole for safety on various surfaces, Unisex – suitable for men and women",,,,,,,,
"5010","Disposable Slippers (Green Logo)","Household","Disposable Slippers","Branded with a green logo, these are also suitable for hotels and guest rooms.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Soft, breathable material, Non-slip sole for all surfaces, Green logo branding",,,,,,,,
"5011","Disposable Slippers (With Open Toe)","Metal Pen","Disposable Slippers","Open toe slippers for enhanced comfort, supplied in bulk.",,,"true",2025-07-27T07:05:49.311Z,2025-07-27T07:05:49.311Z,"Shivaya",,,"Open toe design, Soft and breathable, Non-slip",,,,,,,,
"5012","Toothpaste","Household","Dental & Oral Care","Available in leading Indian brands. Small tubes ideal for one-time hotel guest use.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,
"5013","Dental Kit","Household","Dental & Oral Care","Complete dental kit (toothpaste+toothbrush) in printed box for hotels. MOQ 500 sets.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,
"5014","Wooden Toothbrush","Household","Dental & Oral Care","Eco-friendly bamboo/wooden toothbrush for sustainable hotel amenities.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,"Wood",,,,,,,,,
"5015","Plastic Toothbrush","Household","Dental & Oral Care","Standard white hotel-use toothbrushes.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,
"5016","Shaving Razor","Household","Shaving & Grooming","Shaving Razor from Shaving Kits & Razors",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5017","Shaving Kit Pouch","Household","Shaving & Grooming","Shaving Kit Pouch from Shaving Kits & Razors",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5018","Shaving Kit Box","Household","Shaving & Grooming","Shaving Kit Box from Shaving Kits & Razors",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5019","Shaving Gel","Household","Shaving & Grooming","Shaving Gel from Shaving Kits & Razors",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5020","Shaving Kit with Pouch","Household","Shaving & Grooming","Shaving Kit with Pouch from Shaving Kits & Razors",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5021","Shaving Kit with Box","Household","Shaving & Grooming","Shaving Kit with Box from Shaving Kits & Razors",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5022","Wax Shoes Shiner","Other","Shoes Shiner","Wax Shoes Shiner from Shoes Shiner",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,"[object Object]"
"5023","Comb","Household","Combs","Comb from Combs",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,"White",,,,"[object Object], [object Object]"
"5024","Hotel Guest Kit","Household","Guest Kits","A curated collection of essential toiletries and amenities designed to provide a luxurious hotel stay experience. Each kit includes: premium shampoo, conditioner, body wash, body lotion, dental care set, and a comb, all beautifully packed for convenience. Crafted with gentle, skin-friendly ingredients for a refreshing and comfortable guest experience. Suitable for hotels seeking to enhance their amenity offerings.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Shivaya",,,,,,,,,,,
"5025","Naphthalene Balls (Colored)","Household","Naphthalene Balls","Multi-colored naphthalene balls used for deodorizing and insect repellent purposes in closets, bathrooms, and storage spaces. Available in attractive pastel colors.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Long-lasting fragrance, Protects clothes and storage spaces from insects, Ideal for hotels, homes, wardrobes, and restrooms",,,,,,,,
"5026","Naphthalene Balls (White)","Household","Naphthalene Balls","Classic white naphthalene balls, ideal for repelling insects and maintaining a fresh scent in various storage and sanitary areas.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Traditional strong fragrance, Multi-purpose use",,,,,,,,
"5027","Urinal Screen Deodorizer Mat","Household","Urinal Screen Deodorizer Mats","Durable, non-slip urinal screen mat designed to fit in urinals, trap debris, prevent clogs, and release a fresh fragrance to maintain restroom cleanliness and hygiene. Especially suited for high-traffic public restrooms.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Traps debris, prevents clogs, Fresh and clean scent (lemon, orange, rose, ocean), Multi-colour, standard size, Flexible to fit all urinals, Anti-splash design, Controls restroom odor",,,,,,,,
"5028","Disposable Glass Cover","Kitchenware","Glass Covers","Single-use, paper-based glass covers designed to provide a hygienic drinking glass experience for hotel guests. Helps assure cleanliness and safety in hospitality settings.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Printed 'Sanitized & Cleaned' message or custom hotel branding, Fits standard hotel glasses, Hygienic, disposable",,,,,,,,
"5029","Non Woven Disposable Laundry Bag","Household","Laundry Bags","Single-use laundry bags made from durable non-woven material, designed for hotels and hospitality industry. Ideal for guest laundry collection.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Disposable and hygienic, Strong non-woven fabric, Drawstring or sealed closure options, Available in different sizes",,,,,,,,
"5030","Toilet Seat WC Band","Household","Toilet Seat WC Band","Ensures hygiene and cleanliness for hotels, hospitals, and premium establishments. Used as a seal of sanitation, assures guests that the toilet seat has been freshly cleaned and disinfected.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Acts as a seal of sanitation for toilets, Made from durable, eco-friendly material, Easily fits around standard toilet seats, Disposable after use",,,,,,,,
"5031","Paper Glass Coaster","Other","Paper Glass Coaster","Lightweight, eco-friendly beverage coaster made from high-quality paper material. Designed to protect surfaces from spills, condensation, or heat damage in hotels, cafes, and events.",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,,"Protects surfaces from glasses/condensation, Disposable and hygienic, Sleek, minimalist design, Available with branding, designs, and messages",,,,,,,,"Plain white paper coasters, Printed designs, Glass coaster with branding"
"5032","Premium Disposable Bouffant Cap (Green)","Household","Shower Caps","Premium Disposable Bouffant Cap (Green) from Shower Caps",,,"true",2025-07-27T07:05:49.312Z,2025-07-27T07:05:49.312Z,"Swiss Comforts",,"Non-woven","Elastic band, Hygienic hair protection, Bulk pack of 100 pcs",,,,"Green",,,,
