"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"1000","Stallio 07 Print","Household","Water Buckets","Stallio 07 Print from Stallio Bucket",,,"true",2025-07-27T07:05:49.281Z,2025-07-27T07:05:49.281Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1001","Stallio 11 Print","Household","Water Buckets","Stallio 11 Print from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1002","Stallio 15 Print","Household","Water Buckets","Stallio 15 Print from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1003","Stallio 18 Print","Household","Water Buckets","Stallio 18 Print from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1004","Stallio 20 Print","Household","Water Buckets","Stallio 20 Print from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1005","Stallio 25 Print","Household","Water Buckets","Stallio 25 Print from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1006","Stallio Bucket 07","Household","Water Buckets","Stallio Bucket 07 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1007","Stallio Bucket 11","Household","Water Buckets","Stallio Bucket 11 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1008","Stallio Bucket 15","Household","Water Buckets","Stallio Bucket 15 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1009","Stallio Bucket WL 15","Household","Water Buckets","Stallio Bucket WL 15 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1010","Stallio Bucket 18","Household","Water Buckets","Stallio Bucket 18 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1011","Stallio Bucket WL 18","Household","Water Buckets","Stallio Bucket WL 18 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1012","Stallio Bucket 20","Household","Water Buckets","Stallio Bucket 20 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1013","Stallio Bucket WL 20","Household","Water Buckets","Stallio Bucket WL 20 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1014","Stallio Bucket 25","Household","Water Buckets","Stallio Bucket 25 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1015","Stallio Bucket WL 25","Household","Water Buckets","Stallio Bucket WL 25 from Stallio Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Stallio Bucket",,"Available with or without lid, Durable plastic, Printed options",,,,,,,,
"1016","Round Printed 18","Household","Water Buckets","Round Printed 18 from Round Bucket",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Round Bucket",,,,,,,,,,
