"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"1241","Basket 301/302/303","Household","Baskets & Racks","Basket 301/302/303 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1234","Basket 602","Household","Baskets & Racks","Basket 602 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1235","Basket 603","Household","Baskets & Racks","Basket 603 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1236","Basket 604 (Rectangular)","Household","Baskets & Racks","Basket 604 (Rectangular) from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1231","Basket Alyia","Household","Baskets & Racks","Basket Alyia from Fruit Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Fruit Basket",,,,,,,,,,
"1229","Basket Ventilated 611","Household","Baskets & Racks","Basket Ventilated 611 from Fruit Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Fruit Basket",,,,,,,,,,
"1233","Corner 2","Household","Baskets & Racks","Corner 2 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1232","Corner 3","Household","Baskets & Racks","Corner 3 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1242","Daisy 4/3/2","Household","Baskets & Racks","Daisy 4/3/2 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1248","Dux 3/2","Household","Baskets & Racks","Dux 3/2 from Multipurpose Rack",,,"true",2025-07-27T07:05:49.288Z,2025-07-27T07:05:49.288Z,"Shivaya","Multipurpose Rack",,,,,,,,,,
"1230","File Try 607","Household","Baskets & Racks","File Try 607 from Fruit Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Fruit Basket",,,,,,,,,,
"1223","Juhi Big","Household","Baskets & Racks","Juhi Big from Shopping Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Shopping Basket",,,,,,,,,,
"1238","Karina Small/Big","Household","Baskets & Racks","Karina Small/Big from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1240","Lily 4/3/2","Household","Baskets & Racks","Lily 4/3/2 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1247","Liza 3/2","Household","Baskets & Racks","Liza 3/2 from Multipurpose Rack",,,"true",2025-07-27T07:05:49.288Z,2025-07-27T07:05:49.288Z,"Shivaya","Multipurpose Rack",,,,,,,,,,
"1245","Lotus 3/2","Household","Baskets & Racks","Lotus 3/2 from Multipurpose Rack",,,"true",2025-07-27T07:05:49.288Z,2025-07-27T07:05:49.288Z,"Shivaya","Multipurpose Rack",,,,,,,,,,
"1243","Marigold 4/3/2","Household","Baskets & Racks","Marigold 4/3/2 from Multipurpose Rack",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose Rack",,,,,,,,,,
"4026","Plastic Basket","Household","Baskets & Racks","Plastic storage basket for household organization. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4026","Plastic Basket","Household","Baskets & Racks","Plastic storage basket for household organization. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.323Z,2025-07-27T07:05:49.323Z,"Shivaya",,,,,,,,,,,
"1244","Rack Filler 3","Household","Baskets & Racks","Rack Filler 3 from Multipurpose Rack",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose Rack",,,,,,,,,,
"1227","Rockey","Household","Baskets & Racks","Rockey from Shopping Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Shopping Basket",,,,,,,,,,
"1228","Round Tokra","Household","Baskets & Racks","Round Tokra from Fruit Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Fruit Basket",,,,,,,,,,
"1224","Shoppers Big","Household","Baskets & Racks","Shoppers Big from Shopping Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Shopping Basket",,,,,,,,,,
"1225","Shoppers Medium","Household","Baskets & Racks","Shoppers Medium from Shopping Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Shopping Basket",,,,,,,,,,
"1226","Shoppers Small","Household","Baskets & Racks","Shoppers Small from Shopping Basket",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Shopping Basket",,,,,,,,,,
"1239","Sonam","Household","Baskets & Racks","Sonam from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1246","Tower 3/2","Household","Baskets & Racks","Tower 3/2 from Multipurpose Rack",,,"true",2025-07-27T07:05:49.288Z,2025-07-27T07:05:49.288Z,"Shivaya","Multipurpose Rack",,,,,,,,,,
"1237","Tulip 4/3/2","Household","Baskets & Racks","Tulip 4/3/2 from Multipurpose",,,"true",2025-07-27T07:05:49.287Z,2025-07-27T07:05:49.287Z,"Shivaya","Multipurpose",,,,,,,,,,
"1051","Mug 115 CH","Household","Bath Mug","Mug 115 CH from Bath Mug",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya",,,,,,,,,,,
"1052","Mug 211 (500 ml)","Household","Bath Mug","Mug 211 (500 ml) from Bath Mug",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya",,,,,,,,,,,
"1053","Mug 213","Household","Bath Mug","Mug 213 from Bath Mug",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya",,,,,,,,,,,
"1054","Mug 217","Household","Bath Mug","Mug 217 from Bath Mug",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya",,,,,,,,,,,
"1055","Mug 218","Household","Bath Mug","Mug 218 from Bath Mug",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya",,,,,,,,,,,
"1056","Mug 219","Household","Bath Mug","Mug 219 from Bath Mug",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya",,,,,,,,,,,
"1058","Mug New Printed 213","Household","Bath Mug","Mug New Printed 213 from Bath Mug",,,"true",2025-07-27T07:05:49.283Z,2025-07-27T07:05:49.283Z,"Shivaya",,,,,,,,,,,
"1060","Mug New Printed 217","Household","Bath Mug","Mug New Printed 217 from Bath Mug",,,"true",2025-07-27T07:05:49.283Z,2025-07-27T07:05:49.283Z,"Shivaya",,,,,,,,,,,
"1042","Mug Polo 1000","Household","Bath Mug","Mug Polo 1000 from Mug Polo",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Mug Polo",,,,,,,,,,
"1043","Mug Polo 2","Household","Bath Mug","Mug Polo 2 from Mug Polo",,,"true",2025-07-27T07:05:49.282Z,2025-07-27T07:05:49.282Z,"Shivaya","Mug Polo",,,,,,,,,,
"1057","Mug Printed 213","Household","Bath Mug","Mug Printed 213 from Bath Mug",,,"true",2025-07-27T07:05:49.283Z,2025-07-27T07:05:49.283Z,"Shivaya",,,,,,,,,,,
