"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku"
"333","Hotel Soap – Square (Orange)","Hotel Soaps","","Available in transparent orange square form. Bulk packaging for hotels.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"334","Hotel Soap – Round (Yellow)","Hotel Soaps","","Round yellow soap bars, ideal for hotel amenities.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"335","Hotel Soap – Sachet Packaged","Hotel Soaps","","Hotel soap packed in individual sachets for hygienic use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"336","Hotel Soap – Square (White)","Hotel Soaps","","White square soaps, available in bulk with optional custom branding.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"337","Hotel Soap – Custom Branding","Hotel Soaps","","Custom label option available for hotel soaps.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"338","Moisturizer","Guest Toiletries: 20ml Bottles","","High-quality 20ml moisturizer, travel-sized for hotels. Custom branding and eco-friendly packaging.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"339","Conditioner","Guest Toiletries: 20ml Bottles","","20ml hotel conditioner in convenient bottle. Custom hotel branding possible.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"340","Shower Gel","Guest Toiletries: 20ml Bottles","","20ml shower gel meant for short-stay guests or travel use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"341","Shampoo","Guest Toiletries: 20ml Bottles","","Travel-size hotel shampoo, 20ml per bottle.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Premium, skin-friendly ingredients, Recyclable bottles, Custom branding available",,,,,,
"342","Disposable Slippers (Regular)","Disposable Slippers","","Comfortable, hygienic slippers for hotels, spas, salons, or guest use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Soft, breathable material, Non-slip sole for safety on various surfaces, Unisex – suitable for men and women",,,,,,
"343","Disposable Slippers (Green Logo)","Disposable Slippers","","Branded with a green logo, these are also suitable for hotels and guest rooms.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Soft, breathable material, Non-slip sole for all surfaces, Green logo branding",,,,,,
"344","Disposable Slippers (With Open Toe)","Disposable Slippers","","Open toe slippers for enhanced comfort, supplied in bulk.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Open toe design, Soft and breathable, Non-slip",,,,,,
"345","Toothpaste","Dental & Oral Care","","Available in leading Indian brands. Small tubes ideal for one-time hotel guest use.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"346","Dental Kit","Dental & Oral Care","","Complete dental kit (toothpaste+toothbrush) in printed box for hotels. MOQ 500 sets.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"347","Wooden Toothbrush","Dental & Oral Care","","Eco-friendly bamboo/wooden toothbrush for sustainable hotel amenities.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,"Wood",,,,,,,
"348","Plastic Toothbrush","Dental & Oral Care","","Standard white hotel-use toothbrushes.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"349","Shaving Razor","Shaving Kits & Razors","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"350","Shaving Kit Pouch","Shaving Kits & Razors","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"351","Shaving Kit Box","Shaving Kits & Razors","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"352","Shaving Gel","Shaving Kits & Razors","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"353","Shaving Kit with Pouch","Shaving Kits & Razors","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"354","Shaving Kit with Box","Shaving Kits & Razors","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"355","Wax Shoes Shiner","Shoes Shiner","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"356","Comb","Combs","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,"White",,
"357","Hotel Guest Kit","Guest Kits","","A curated collection of essential toiletries and amenities designed to provide a luxurious hotel stay experience. Each kit includes: premium shampoo, conditioner, body wash, body lotion, dental care set, and a comb, all beautifully packed for convenience. Crafted with gentle, skin-friendly ingredients for a refreshing and comfortable guest experience. Suitable for hotels seeking to enhance their amenity offerings.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,,,,,,,
"358","Naphthalene Balls (Colored)","Naphthalene Balls","","Multi-colored naphthalene balls used for deodorizing and insect repellent purposes in closets, bathrooms, and storage spaces. Available in attractive pastel colors.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Long-lasting fragrance, Protects clothes and storage spaces from insects, Ideal for hotels, homes, wardrobes, and restrooms",,,,,,
"359","Naphthalene Balls (White)","Naphthalene Balls","","Classic white naphthalene balls, ideal for repelling insects and maintaining a fresh scent in various storage and sanitary areas.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Traditional strong fragrance, Multi-purpose use",,,,,,
"360","Urinal Screen Deodorizer Mat","Urinal Screen Deodorizer Mats","","Durable, non-slip urinal screen mat designed to fit in urinals, trap debris, prevent clogs, and release a fresh fragrance to maintain restroom cleanliness and hygiene. Especially suited for high-traffic public restrooms.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Traps debris, prevents clogs, Fresh and clean scent (lemon, orange, rose, ocean), Multi-colour, standard size, Flexible to fit all urinals, Anti-splash design, Controls restroom odor",,,,,,
"361","Disposable Glass Cover","Glass Covers","","Single-use, paper-based glass covers designed to provide a hygienic drinking glass experience for hotel guests. Helps assure cleanliness and safety in hospitality settings.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Printed 'Sanitized & Cleaned' message or custom hotel branding, Fits standard hotel glasses, Hygienic, disposable",,,,,,
"362","Non Woven Disposable Laundry Bag","Laundry Bags","","Single-use laundry bags made from durable non-woven material, designed for hotels and hospitality industry. Ideal for guest laundry collection.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Disposable and hygienic, Strong non-woven fabric, Drawstring or sealed closure options, Available in different sizes",,,,,,
"363","Toilet Seat WC Band","Toilet Seat WC Band","","Ensures hygiene and cleanliness for hotels, hospitals, and premium establishments. Used as a seal of sanitation, assures guests that the toilet seat has been freshly cleaned and disinfected.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Acts as a seal of sanitation for toilets, Made from durable, eco-friendly material, Easily fits around standard toilet seats, Disposable after use",,,,,,
"364","Paper Glass Coaster","Paper Glass Coaster","","Lightweight, eco-friendly beverage coaster made from high-quality paper material. Designed to protect surfaces from spills, condensation, or heat damage in hotels, cafes, and events.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Protects surfaces from glasses/condensation, Disposable and hygienic, Sleek, minimalist design, Available with branding, designs, and messages",,,,,,
"365","Premium Disposable Bouffant Cap (Green)","Shower Caps","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,"Non-woven","Elastic band, Hygienic hair protection, Bulk pack of 100 pcs",,,,"Green",,
"366","Premium Disposable Bouffant Cap (White)","Shower Caps","",,,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,"Non-woven","Elastic band, Hygienic hair protection, Bulk pack of 100 pcs",,,,"White",,
"367","Shower Cap","Shower Caps","","Disposable shower cap available in green, blue and white color options. Waterproof, elastic, individually packed.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Elastic band for secure fit, One size fits all, Hygienic and waterproof, Great for hotels, salons, spas",,,,,,
"368","Sewing Kit","Sewing Kit","","Practical and compact sewing kit ideal for hotel guests. Contains all basic sewing essentials for minor repairs.",,,"true",2025-07-27T06:35:35.239Z,2025-07-27T06:35:35.239Z,,,,"Lightweight and travel-friendly, Basic essentials for emergencies, Custom branding possible",,,,,,
